id;start_date_time;end_date_time;status;additional_details;worksite_image_url;customer_lat;customer_long;created_date
1;2025-07-13T20:33:50;2025-07-14T01:38:54;ACCEPTED;manservant authorization gadzooks;acidic;22282.42;17092.5;2025-07-14T04:26:50
2;2025-07-14T01:42:45;2025-07-13T22:15:36;REJECTED;ouch;times er um;4793.5;24784.57;2025-07-13T22:13:11
3;2025-07-13T22:32:00;2025-07-14T05:45:32;PENDING;livid over;fatal;15793.2;10574.01;2025-07-13T15:48:18
4;2025-07-13T19:08:38;2025-07-14T00:16:02;COMPLETED;attacker;swiftly reproachfully;3280.65;4247.09;2025-07-14T08:30:16
5;2025-07-13T23:10:43;2025-07-13T20:23:44;REJECTED;pupa casserole;before for;9178.01;20158.52;2025-07-13T14:46:41
6;2025-07-13T21:13:44;2025-07-14T13:13:26;ACCEPTED;outside ack;actually drat;6446.52;30149.6;2025-07-14T01:17:52
7;2025-07-13T23:31:14;2025-07-14T09:53:37;PENDING;why toward bakery;now ah;11957.83;17185.37;2025-07-14T12:20:13
8;2025-07-13T21:49:41;2025-07-13T17:12:57;ACCEPTED;woot;er onto anenst;22071.53;8557.81;2025-07-13T21:12:31
9;2025-07-14T01:09:54;2025-07-13T20:50:25;ACCEPTED;whose try unexpectedly;huzzah ha officiate;22337.72;20531.06;2025-07-13T16:46:35
10;2025-07-13T22:44:25;2025-07-13T16:12:49;CANCELLED;till rainstorm precious;shiver;31207.21;32150.51;2025-07-14T04:32:00
