id;brand;type;tag;model;vin_number;chassis_number;description;capacity_ton;rate_per_hour;minimum_usage_hours;latitude;longitude;transportation_charge;driver_batta;serviceability_range_km;status;created_date
1;duh;expert ew drat;likewise;title;upside-down curl;unrealistic uh-huh loyally;triangular drat;26272;27187.07;20641;27517.61;16399.13;7381.4;18094.93;29686;AVAILABLE;2025-07-14T05:56:53
2;geez once warlike;near long-term;flustered;robust;hence;times qua before;soon comb;19647;28122.23;8845;21026.94;1902.7;18060.96;25334.86;554;NOT_AVAILABLE;2025-07-14T02:51:12
3;napkin whose trillion;tango ouch;oh fess;enthusiastically;beautifully provided boohoo;easily;aha shoehorn;24202;23646.49;13841;22576.67;4629.8;2340.65;23892.47;11857;AVAILABLE;2025-07-14T03:16:11
4;whereas when;arrogantly summon sprat;glittering fooey;fatally;vaguely;assurance pro;how kiddingly;10225;10959.37;19661;15104.35;7293.83;12106.79;21265.39;17213;NOT_AVAILABLE;2025-07-13T21:59:39
5;but kookily represent;regarding;down hopelessly;hard lest unless;concerning slowly whose;valance whereas;wonderfully;4067;23236.42;12925;9684.61;6709.54;5073.23;3418.78;23537;AVAILABLE;2025-07-14T00:25:50
6;hence elbow but;where;negligible;possible;cautiously tugboat;after how teammate;worth sleepily;30129;3848.61;272;1487.24;11218.72;10435.44;19107.31;27568;NOT_AVAILABLE;2025-07-14T03:18:32
7;ick without;haunt circa;pfft harmony shakily;divorce likewise disloyal;behind;off freely pish;stomp;23587;12715.31;2912;5632.47;24811.23;17648.38;25706.35;2941;AVAILABLE;2025-07-14T00:05:36
8;yahoo but;brr torso ew;very towards different;aha shyly third;perturb externalize;aha commonly surprisingly;rest;21105;7839.71;29238;13545.35;24539.16;23683.25;78.84;9316;AVAILABLE;2025-07-14T01:21:03
9;grouchy suspend;pace;awareness alongside remember;until although;apud queasily;nimble pace oof;whereas youthfully excluding;8868;2487.94;11437;2089.23;29986.59;4166.87;3040.51;22843;NOT_AVAILABLE;2025-07-13T20:58:29
10;thoroughly;freestyle likewise cartload;fulfillment footwear;geez adorable;even the ha;woot commonly;fraternise;14195;11693.93;27577;24564.35;3489.5;17609.21;10434.77;5415;AVAILABLE;2025-07-13T18:17:06
